,Alpha,R2,^FCHI,^GDAXI,^GSPC,^FTSE,^SSMI,^STOXX50E
FR0010032573,-1.3836559058532011e-05,0.08142167540769252,0.055562811314944054,-0.0033530097209804478,0.007844201029660929,0.07841845100189009,0.03361200513585329,-0.047681136359975146
FR0010037341,-0.00011487677134774933,0.7752904532294791,0.2516611564272402,0.24055407461260087,0.05573597559334209,-0.15394283323813848,0.35684326665431876,0.1034396775220594
FR0010041822,6.336300408690547e-06,0.616067161436807,0.14500537631888638,0.0637425039020992,0.03351126636086705,0.09621288703522543,0.04071027721561371,-0.09925763227448402
FR0010058529,-0.000210530277377327,0.7198160687031309,0.25794009440322785,0.07244789613888733,0.10878388053967322,-0.054231438870600335,0.2832564417846176,0.1375666183959495
FR0010061283,-6.109476217993129e-05,0.040921895431776045,0.02074986367446956,0.021101514781349237,0.02735361501638659,-0.07951436939450635,0.06182077900311523,-0.013267331415031959
FR0010075333,-3.288098836541761e-06,0.9339456182530352,0.9147607636768997,0.039620860951289395,0.0007811679034756911,0.013433636403139389,0.004574879126166004,-0.03581269835132237
FR0010076893,-2.0177757211745163e-05,0.02423030291667383,0.02302267158905974,0.0013880917322827016,0.016130654663406883,-0.023042647396397373,0.0234496935698661,-0.020004922972965286
FR0010083634,-7.952197367950558e-05,0.6574396487242686,0.24789468527346803,0.07390320607843684,0.049406058732848035,-0.21387217966898553,0.4045620240589838,0.16645820704264858
FR0010086512,3.454626635366226e-05,0.9387245902097175,0.9182035789198784,0.04364800517097877,-0.0006204758587722119,0.015373080248327713,0.006246958888843999,-0.04453520197399459
FR0010091173,-3.2792629441322544e-05,0.7420263960002278,0.02817076662493096,0.05268613755615148,0.5992817604924118,0.020288504164276397,0.15915332446902836,-0.010531486980062704
FR0010097642,4.446205993453731e-06,0.8009765953282513,0.03380802445748207,0.03633846717376896,0.5075250090081598,0.07965395464020295,0.007533216406745237,-0.0018315625849394807
FR0010097667,8.768659228041589e-06,0.2351617769432145,0.011080199399412105,0.021678232028466922,0.046958655159545344,0.049101278324285735,-0.003987969325297349,-0.011086818610669607
FR0010097683,2.4124174861566837e-05,0.4880211163851176,-0.035891415460353064,0.03400281861703108,0.13574652132482198,0.05611109733981333,0.01567438840899605,0.0661200568525698
FR0010107953,0.0001275141817171123,0.04053331131457216,-0.00647736359225076,-0.0006468625207998735,-0.04407040886864666,0.12761023292495427,-0.07502890885850731,0.026892709132476888
FR0010113894,-2.8377827212213986e-05,0.5521262972179009,0.05174471204036385,0.0491969591892108,0.09683218616297637,-0.031498905114577036,0.05852150113569761,-0.007405906480682782
FR0010116343,4.718667726771483e-05,0.07158812437909967,0.005023795806742374,0.00476717893720813,0.003029061949551686,0.0013960350216370948,-0.000839004906477441,-0.005118493715737724
FR0010117093,-9.80783105674612e-05,0.7538199641049568,0.0960643926412254,0.2685820052789668,0.053374124378663054,0.003194486626545784,0.24565398481335726,0.058973330031512866
FR0010135103,5.2771417113214153e-05,0.24206045595474535,-0.008332553838601016,0.026693364808983308,0.10827089322608041,0.04583224058699377,0.015875220999002168,0.011125616459093397
FR0010143545,2.3614389094064105e-05,0.913986161802301,0.8729931425795013,0.18745806578635588,-0.006012583084250671,0.13863087799294815,-0.08460495649989236,-0.14026543848076983
FR0010148007,7.418553300697948e-05,0.7805011010948351,0.1850862249289195,0.32180144336265104,0.05417139035103473,0.08488679127894327,0.10525315261104126,0.11406292180217181
FR0010148981,7.330647008880206e-05,0.6841609737489748,0.04755587389533497,0.018852935369222612,0.5868557334932715,0.002187936968294807,0.06967504112596973,0.06866795133896848
FR0010149120,4.606761496937502e-05,0.04534618056118178,0.01511249588400852,0.00045347736062956536,-0.0005076081920553368,0.01591920448646493,0.0025125388929064523,-0.010411121663994624
FR0010149203,3.952777529932005e-06,0.4421216501377162,0.0023302596544544736,0.027037126035034637,0.13280903706450314,0.009363479760847847,0.03319069447712867,0.033918183572562224
FR0010149302,0.00011594698645395326,0.21872414956994546,0.024990411702645474,-0.07783869129707062,0.23224504377055277,0.23822746342184437,-0.0642055480769422,0.1560683059710103
FR0010153320,-5.956131736304277e-05,0.791310621977516,0.00440828817543145,-0.035497813286088586,0.9135113335261876,0.1023425593461568,0.060853465735480276,-0.09383729836090009
FR0010156539,2.353150817606842e-05,0.25679166223665606,0.036408065014611836,0.021518230982053247,0.04168908461133634,0.02211247641991086,0.008931977179544134,-0.010710548697636005
FR0010156604,-1.9843806056629663e-05,0.08139783767937114,0.055364284359213714,-0.003552742313998228,0.007811350362348226,0.07872998301432059,0.033751612934734575,-0.047558825366155605
FR0010158048,-0.00010892685887131018,0.8311661293114923,0.6440299603409064,0.3224808865483266,0.028281171867959837,0.14914708380262193,-0.10034725049625809,-0.16295537579842495
FR0010172437,3.7367071042733325e-05,0.42998111779793236,0.08240531801614777,0.08941759432281707,0.08306259841887899,0.03774920516063721,-0.00377548501624151,-0.030549282351937365
FR0010172767,-2.0314122549069304e-06,0.13108374682548596,0.05102948751968649,0.03803073524848345,0.017348892814102,0.0008933380785519206,0.019725523558665727,-0.04213777467357019
FR0010174144,0.00021703895649056193,0.1018873669626279,0.35117273706916685,0.08207540581133102,-0.034076646336680456,0.14409524216697614,-0.15868920134348238,-0.16730847380045094
FR0010177899,2.690965381981854e-05,0.8516114268368471,0.08957205570584693,0.0769158760819406,0.013114200880787793,0.005892934130806958,0.020152538885462413,0.05330129791464638
FR0010188383,4.3956813685969674e-05,0.2737533943754258,0.0614700139894394,0.004410885555546529,0.13118126000746672,0.3266886486786299,-0.03785519785956321,0.05101859377033523
FR0010225052,-0.0001352200184437985,0.1584164701188443,0.04249463754682244,0.03310442106602038,0.04882597932314299,-0.02198706932721026,0.05010198628386396,-0.03213245330292337
FR0010230490,0.00014573382791261867,0.08983025129237765,0.07362788158601069,0.028111769393414185,-0.023655791008064326,0.122723070645538,-0.04505994010616189,-0.06811395176232171
FR0010233726,4.749291873038133e-05,0.0030794646942484682,-0.001084817871837844,0.0006951542783036621,0.000151776943804712,0.00022792454735670223,-0.00043134527888177924,0.0004765802793830268
